cno,cname,cpno,ccredit,cteacher
C001,高等数学上,,5,许超
C002,高等数学下,C001,5,邢建国
C003,线性代数,C001,3,苏玉华
C004,概率论与数理统计,C002,3,李淑兰
C005,大学物理,C001,4,周建华
C006,大学英语,,4,刘婷婷
C007,C语言程序设计,,4,王亮
C008,算法及数据结构,C007,4,薛秀云
C009,计算机组成原理,,4,刘静
C010,计算机网络,,3,杜小红
C011,数据库原理与应用,C008,4,卫桂香
C012,人工智能基础,C007,3,王晨
C013,机器学习与模式识别,C012,4,饶林
C014,大数据可视化,C011,3,张瑞
C015,大数据原理与云计算,C010,3,廖桂芳
C016,数据挖掘（双语）,C013,3,刘杰
C017,数字图像处理,C008,3,黎秀荣
C018,深度学习与计算机视觉,C013,4,刘莹
C019,自然语言处理,C013,3,郑宇
C020,嵌入式系统与应用,C009,4,唐玉华
C021,自动控制原理,C003,4,刘春梅
C022,机器人学导论,C021,3,徐敏
C023,传感器与检测技术,C005,3,朱畅
C024,工业机器人编程,C022,3,李小红
